Entity,Year,Total number of emigrants
Afghanistan,1990,7477104
Afghanistan,1995,4107724
Afghanistan,2000,4544516
Afghanistan,2005,3902699
Afghanistan,2010,5074825
Afghanistan,2015,5181002
Afghanistan,2020,5729887
Afghanistan,2024,7528994
Africa,1990,19677870
Africa,1995,21240099
Africa,2000,21162547
Africa,2005,24080357
Africa,2010,27829220
Africa,2015,34659532
Africa,2020,40006733
Africa,2024,45750673
Albania,1990,178747
Albania,1995,394084
Albania,2000,629192
Albania,2005,784369
Albania,2010,962514
Albania,2015,985561
Albania,2020,1103849
Albania,2024,1216628
Algeria,1990,1458505
Algeria,1995,1424971
Algeria,2000,1427791
Algeria,2005,1554741
Algeria,2010,1604582
Algeria,2015,1662433
Algeria,2020,1732822
Algeria,2024,1780399
American Samoa,1990,1085
American Samoa,1995,1625
American Samoa,2000,2183
American Samoa,2005,2148
American Samoa,2010,2341
American Samoa,2015,2452
American Samoa,2020,2952
American Samoa,2024,3362
Andorra,1990,143
Andorra,1995,283
Andorra,2000,436
Andorra,2005,448
Andorra,2010,1213
Andorra,2015,1467
Andorra,2020,1751
Andorra,2024,1982
Angola,1990,799084
Angola,1995,656106
Angola,2000,873474
Angola,2005,663380
Angola,2010,579968
Angola,2015,518695
Angola,2020,549257
Angola,2024,616967
Anguilla,1990,2262
Anguilla,1995,2205
Anguilla,2000,2158
Anguilla,2005,1776
Anguilla,2010,1719
Anguilla,2015,1572
Anguilla,2020,1561
Anguilla,2024,1614
Antigua and Barbuda,1990,7368
Antigua and Barbuda,1995,7792
Antigua and Barbuda,2000,8297
Antigua and Barbuda,2005,7978
Antigua and Barbuda,2010,8143
Antigua and Barbuda,2015,12860
Antigua and Barbuda,2020,12999
Antigua and Barbuda,2024,13111
Argentina,1990,406466
Argentina,1995,445110
Argentina,2000,571985
Argentina,2005,824076
Argentina,2010,877341
Argentina,2015,895980
Argentina,2020,1014400
Argentina,2024,1183381
Armenia,1990,813557
Armenia,1995,990938
Armenia,2000,950779
Armenia,2005,787489
Armenia,2010,799328
Armenia,2015,741708
Armenia,2020,685545
Armenia,2024,637604
Aruba,1990,4564
Aruba,1995,4844
Aruba,2000,5433
Aruba,2005,5447
Aruba,2010,7117
Aruba,2015,9011
Aruba,2020,16628
Aruba,2024,29305
Asia,1990,54154302
Asia,1995,56278875
Asia,2000,62918051
Asia,2005,69817605
Asia,2010,85229256
Asia,2015,101116455
Asia,2020,111067828
Asia,2024,120717155
Australia,1990,250909
Australia,1995,280785
Australia,2000,311529
Australia,2005,337326
Australia,2010,362178
Australia,2015,403333
Australia,2020,420672
Australia,2024,430718
Austria,1990,433951
Austria,1995,418616
Austria,2000,414141
Austria,2005,408939
Austria,2010,409023
Austria,2015,411144
Austria,2020,424072
Austria,2024,430560
Azerbaijan,1990,1334492
Azerbaijan,1995,1517896
Azerbaijan,2000,1466589
Azerbaijan,2005,1350981
Azerbaijan,2010,1050055
Azerbaijan,2015,860748
Azerbaijan,2020,790122
Azerbaijan,2024,810116
Bahamas,1990,2074
